models,prices,countries,name
Daytona,22500,ES,Spain
GMT-Master II,61500,ES,Spain
Yacht-Master,13800,ES,Spain
Daytona,23500,ES,Spain
Lady-Datejust,4700,ES,Spain
Sea-Dweller,15000,ES,Spain
Datejust,33337,ES,Spain
Submariner,11900,ES,Spain
Sky-Dweller,54500,ES,Spain
Submariner,14500,ES,Spain
Day-Date,45900,ES,Spain
Datejust,10500,ES,Spain
Submariner,11500,ES,Spain
Oyster Perpetual,7200,ES,Spain
Yacht-Master,11800,ES,Spain
Daytona,67500,DE,Germany
Sky-Dweller,23000,ES,Spain
Datejust,12550,ES,Spain
Daytona,106500,ES,Spain
Yacht-Master,34900,ES,Spain
GMT-Master II,17500,ES,Spain
Datejust,7500,ES,Spain
Day-Date,16995,ES,Spain
Datejust,8100,ES,Spain
Sea-Dweller,16190,ES,Spain
GMT-Master II,20900,ES,Spain
Daytona,35550,ES,Spain
Datejust,15000,ES,Spain
Daytona,73900,ES,Spain
Yacht-Master,14500,ES,Spain
Submariner,15600,ES,Spain
Oyster Perpetual,11900,DE,Germany
Lady-Datejust,8000,ES,Spain
Datejust,13471,ES,Spain
GMT-Master,12800,ES,Spain
Datejust,12550,ES,Spain
Datejust,16500,ES,Spain
Sea-Dweller,18750,ES,Spain
Explorer II,12000,ES,Spain
Datejust,9900,ES,Spain
Submariner,9995,ES,Spain
Oyster Perpetual,12500,ES,Spain
Milgauss,9900,ES,Spain
Lady-Datejust,3990,DE,Germany
Daytona,24950,ES,Spain
Sky-Dweller,21500,ES,Spain
Datejust,16900,ES,Spain
Sea-Dweller,14000,ES,Spain
Rolex,2700,ES,Spain
Lady-Datejust,16650,NL,Netherlands
Rolex,6000,ES,Spain
Sky-Dweller,36800,DE,Germany
Datejust,14250,ES,Spain
GMT-Master II,43000,ES,Spain
Submariner,17500,ES,Spain
Explorer II,12000,ES,Spain
Lady-Datejust,4000,ES,Spain
Explorer II,12250,NL,Netherlands
Datejust,9039,ES,Spain
Submariner,15990,ES,Spain
GMT-Master II,17250,ES,Spain
Sky-Dweller,25500,ES,Spain
Datejust,20500,ES,Spain
Datejust,15500,ES,Spain
Oyster Perpetual,15650,ES,Spain
Submariner,9800,ES,Spain
Datejust,9800,ES,Spain
Datejust,13000,ES,Spain
Datejust,13450,NL,Netherlands
Explorer II,11250,ES,Spain
Datejust,5150,NL,Netherlands
Day-Date,68500,ES,Spain
Datejust,13800,ES,Spain
Submariner,29000,ES,Spain
Submariner,11500,ES,Spain
Datejust,5940,ES,Spain
GMT-Master II,14995,ES,Spain
Submariner,19000,ES,Spain
Datejust,10250,ES,Spain
Oyster Perpetual,6450,NL,Netherlands
Sky-Dweller,25400,ES,Spain
Submariner,11800,ES,Spain
Oyster Perpetual,4475,ES,Spain
Datejust,14200,ES,Spain
Oyster Perpetual,6100,ES,Spain
Day-Date,20995,ES,Spain
Datejust,12735,US,United States of America
GMT-Master II,43000,ES,Spain
Datejust,5577,CH,Switzerland
Day-Date,54950,ES,Spain
Datejust,11500,ES,Spain
Daytona,60000,ES,Spain
Oyster Perpetual,2900,ES,Spain
Explorer,3200,ES,Spain
Oyster Perpetual,4295,ES,Spain
Day-Date,42500,ES,Spain
Cellini,16950,ES,Spain
Datejust,14900,RO,Romania
Milgauss,12500,ES,Spain
Milgauss,12800,ES,Spain
Submariner,9900,ES,Spain
Explorer,15900,ES,Spain
Daytona,162500,ES,Spain
Datejust,5895,ES,Spain
Daytona,59900,ES,Spain
Daytona,48650,ES,Spain
Explorer,7450,ES,Spain
Day-Date,79500,ES,Spain
Submariner,11500,ES,Spain
Oyster Perpetual,22400,ES,Spain
Daytona,105000,ES,Spain
Milgauss,10350,ES,Spain
Oyster Perpetual,4595,ES,Spain
Daytona,79500,ES,Spain
Sky-Dweller,23750,ES,Spain
Daytona,19750,ES,Spain
Datejust,13900,ES,Spain
Datejust,12500,ES,Spain
Oyster Perpetual,5600,ES,Spain
Datejust,6700,ES,Spain
Oyster Perpetual,7995,ES,Spain
Daytona,16500,ES,Spain
Oyster Perpetual,9350,ES,Spain
Oyster Perpetual,11500,ES,Spain
Daytona,54700,ES,Spain
Datejust,10300,ES,Spain
Submariner,12500,ES,Spain
Submariner,22600,ES,Spain
Day-Date,87000,ES,Spain
Precision,2995,ES,Spain
GMT-Master II,15800,ES,Spain
Sky-Dweller,21450,ES,Spain
Daytona,124500,ES,Spain
Datejust,15000,ES,Spain
Daytona,49999,US,United States of America
Lady-Datejust,2600,ES,Spain
Daytona,39900,ES,Spain
Oyster Perpetual,3895,ES,Spain
Daytona,22250,ES,Spain
Daytona,49750,ES,Spain
Day-Date,54900,ES,Spain
Sea-Dweller,15200,ES,Spain
Submariner,18800,ES,Spain
GMT-Master II,10350,ES,Spain
Day-Date,13000,ES,Spain
Day-Date,19800,ES,Spain
Day-Date,27358,US,United States of America
Yacht-Master,32950,ES,Spain
Submariner,21900,ES,Spain
Daytona,82500,ES,Spain
Submariner,17300,ES,Spain
Yacht-Master II,26500,ES,Spain
Milgauss,8000,ES,Spain
Datejust,9900,ES,Spain
Submariner,8200,ES,Spain
GMT-Master II,16980,US,United States of America
Yacht-Master II,34650,ES,Spain
GMT-Master II,36900,ES,Spain
GMT-Master II,20500,ES,Spain
GMT-Master,25000,ES,Spain
Submariner,11000,ES,Spain
Datejust,6950,ES,Spain
Daytona,40000,ES,Spain
Daytona,21697,US,United States of America
Explorer II,12550,ES,Spain
Submariner,17000,ES,Spain
Milgauss,9200,ES,Spain
Submariner,8850,ES,Spain
Submariner,17900,ES,Spain
Lady-Datejust,7900,ES,Spain
Sea-Dweller,30000,ES,Spain
Submariner,16500,ES,Spain
Explorer,8950,ES,Spain
GMT-Master II,21900,ES,Spain
GMT-Master II,21800,ES,Spain
GMT-Master II,18000,ES,Spain
Submariner,23300,ES,Spain
Yacht-Master,31500,ES,Spain
Oyster Perpetual,9400,ES,Spain
Yacht-Master,23000,ES,Spain
GMT-Master,17500,ES,Spain
Sea-Dweller,15750,ES,Spain
Daytona,61000,ES,Spain
Daytona,43900,ES,Spain
Datejust,12500,ES,Spain
Explorer II,44900,ES,Spain
Daytona,29000,ES,Spain
Oyster Perpetual,5600,ES,Spain
GMT-Master,25000,ES,Spain
Submariner,9000,ES,Spain
Yacht-Master,17850,ES,Spain
GMT-Master II,22500,ES,Spain
Datejust,13900,ES,Spain
Yacht-Master II,19800,ES,Spain
Explorer II,11000,ES,Spain
Day-Date,66900,ES,Spain
Cellini,4600,ES,Spain
Daytona,29800,ES,Spain
Day-Date,20950,ES,Spain
Sea-Dweller,16250,ES,Spain
GMT-Master II,32900,ES,Spain
Daytona,43900,ES,Spain
Milgauss,11300,ES,Spain
Oyster Perpetual,6550,ES,Spain
Lady-Datejust,10500,ES,Spain
Datejust,13207,US,United States of America
GMT-Master,28000,ES,Spain
Submariner,10500,ES,Spain
Datejust,14550,ES,Spain
Daytona,27500,ES,Spain
Daytona,41500,ES,Spain
GMT-Master II,19000,ES,Spain
Oyster Perpetual,2980,ES,Spain
Datejust,9200,ES,Spain
Explorer II,6600,ES,Spain
Oyster Perpetual,4500,ES,Spain
Datejust,7990,ES,Spain
GMT-Master II,21750,ES,Spain
Daytona,24800,ES,Spain
Day-Date,49950,ES,Spain
Submariner,12000,ES,Spain
Datejust,4050,ES,Spain
Lady-Datejust,14900,ES,Spain
Cellini,9500,ES,Spain
Submariner,36500,ES,Spain
Oyster Perpetual,8600,ES,Spain
Daytona,29244,US,United States of America
Yacht-Master,5400,ES,Spain
Datejust,20500,ES,Spain
Datejust,3487,JP,Japan
Daytona,72000,ES,Spain
Lady-Datejust,4960,ES,Spain
Submariner,10500,ES,Spain
GMT-Master,28000,ES,Spain
Submariner,15600,ES,Spain
Lady-Datejust,4905,US,United States of America
Day-Date,16000,ES,Spain
Datejust,19900,ES,Spain
Lady-Datejust,2900,ES,Spain
GMT-Master,11900,ES,Spain
Precision,3500,ES,Spain
Day-Date,16700,ES,Spain
Submariner,22000,ES,Spain
Explorer II,13500,ES,Spain
